iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
FRA,France,2021,,,,,,,,,1.572,132.516,,,,,,58,1.106,,,,,93.235,,,,508.24,8.67,6.1,50.62,33.92,59.12,380.68,10.6,0.61,9.28,120.1,14.52,37.18,551.4,,,,,,,,773.696,9.18,,6.152,,,,,518.447,,,,10.722,,,,,903.614,,90.82,500.78,7654.123,,,,,,-8.492,-43.16,69.039,,,,,5818.466,,1.922,,,,,162.015,,,,9.323,141.839,,,,,0.111,1.683,,8427.819,65426176,,1835.657,21.781,,,,,,2.633,,,,,221.93,,6.743,,,,,568.274,
DEU,Germany,2021,,,,,,,,,8.426,583.906,,,,,,349,29.403,,,,,2037.533,,,,562.41,48.99,170.95,277.51,85.78,18.37,69.47,20.78,0.27,49.26,234.42,51.09,115.7,581.4,,,,,,,,3307.61,47.731,,14.754,,,,,1022.402,,,,3.16,,,,,218.95,,52.269,303.89,3622.03,,,,,,-3.377,-18.99,11.949,,,,,828.005,,3.574,,,,,247.674,,,,3.218,587.124,,,,,0.046,8.473,,6929.639,83900472,,2794.025,40.32,,,,,,8.787,,,,,608.936,,19.9,,,,,1379.015,
GRC,Greece,2021,,,,,,,,,0.746,38.57,,,,,,452,12.868,,,,,665.333,,,,57.24,0.4,6.9,31.93,19.17,5.6,0,5.86,0,0.4,21.69,5.22,10.47,53.62,,,,,,,,3078.852,59.549,,35.752,,,,,1848.469,,,,10.444,,,,,539.98,,40.451,21.69,2091.46,,,,,,6.324,3.62,0,,,,,0,,10.929,,,,,565.051,,,,0,38.57,,,,,0,0.746,,5170.312,10370747,,2091.46,40.451,,,,,,9.735,,,,,503.339,,19.526,,,,,1009.57,
HUN,Hungary,2021,,,,,,,,,6.808,246,,,,,,200,8.704,,,,,314.506,,,,47.5,2.37,3.03,13.02,9.63,0.2,16.01,0.36,0.02,2.39,5.78,2.51,0.68,34.81,,,,,,,,1351.441,37.403,,27.664,,,,,999.568,,,,0.575,,,,,20.759,,62.597,21.79,2261.743,,,,,,26.716,12.69,45.993,,,,,1661.795,,1.034,,,,,37.367,,,,2.076,248.076,,,,,0.057,6.866,,3613.184,9634162,,599.948,16.604,,,,,,7.211,,,,,260.531,,1.953,,,,,70.582,
IRL,Ireland,2021,,,,,,,,,2.845,170.583,,,,,,389,13.889,,,,,832.848,,,,31.11,0.85,4.15,18.87,12.43,0.7,0,2.29,0,0.85,11.01,0.02,9.44,29.88,,,,,,,,3786.948,63.153,,41.6,,,,,2494.529,,,,2.343,,,,,140.48,,36.847,11.01,2209.555,,,,,,3.954,1.23,0,,,,,0,,7.664,,,,,459.571,,,,0,170.583,,,,,0,2.845,,5996.503,4982904,,2209.555,36.847,,,,,,0.067,,,,,4.014,,31.593,,,,,1894.478,
ITA,Italy,2021,,,,,,,,,7.009,328.488,,,,,,224,5.277,,,,,247.319,,,,325.68,19.83,14.93,166.12,137.11,44.62,0,14.08,5.9,25.73,116.82,25.41,21.06,282.94,,,,,,,,2751.813,58.712,,48.459,,,,,2271.256,,,,15.77,,,,,739.14,,41.288,116.82,1935.148,,,,,,13.123,42.74,0,,,,,0,,4.976,,,,,233.238,,,,97.735,426.223,,,,,2.085,9.094,,4686.961,60367472,,1935.148,41.288,,,,,,8.981,,,,,420.922,,7.443,,,,,348.863,
LVA,Latvia,2021,,,,,,,,,14.405,460.648,,,,,,122,0,,,,,0,,,,7.75,0.86,0,2.29,2.29,2.69,0,0,0,0.86,3.68,0,0.13,5.97,,,,,,,,1226.61,38.358,,38.358,,,,,1226.61,,,,45.059,,,,,1440.865,,61.642,3.68,1971.146,,,,,,22.968,1.78,0,,,,,0,,0,,,,,0,,,,0,460.648,,,,,0,14.405,,3197.756,1866934,,1971.146,61.642,,,,,,0,,,,,0,,2.178,,,,,69.633,
LTU,Lithuania,2021,,,,,,,,,14.011,189.601,,,,,,117,0,,,,,0,,,,12.58,0.51,0,1.36,1.24,0.32,0,0.12,0,0.51,2.28,0.13,1.32,3.64,,,,,,,,505.602,37.363,,34.066,,,,,460.99,,,,8.791,,,,,118.965,,62.637,2.28,847.627,,,,,,71.065,8.94,0,,,,,0,,3.297,,,,,44.612,,,,0,189.601,,,,,0,14.011,,1353.229,2689862,,847.627,62.637,,,,,,3.571,,,,,48.33,,36.264,,,,,490.731,
LUX,Luxembourg,2021,,,,,,,,,27.338,598.601,,,,,,55,0,,,,,0,,,,7,0.38,0,0.27,0.19,0.15,0,0.08,0,0.38,1.12,0.25,0.34,1.39,,,,,,,,425.321,19.424,,13.669,,,,,299.3,,,,10.791,,,,,236.29,,80.576,1.12,1764.296,,,,,,80.143,5.61,0,,,,,0,,5.755,,,,,126.021,,,,0,598.601,,,,,0,27.338,,2189.618,634814,,1764.296,80.576,,,,,,17.986,,,,,393.816,,24.46,,,,,535.59,
MLT,Malta,2021,,,,,,,,,0.407,22.584,,,,,,401,0,,,,,0,,,,2.98,0.01,0,2.24,1.94,0,0,0.3,0,0.01,0.22,0.21,0,2.46,,,,,,,,5058.832,91.057,,78.862,,,,,4381.309,,,,0,,,,,0,,8.943,0.22,496.85,,,,,,17.45,0.52,0,,,,,0,,12.195,,,,,677.522,,,,0,22.584,,,,,0,0.407,,5555.681,442790,,496.85,8.943,,,,,,8.537,,,,,474.265,,0,,,,,0,
MNE,Montenegro,2021,,,,,,,,,0,0,,,,,,,40.274,,,,,2340.574,,,,2.14,0,1.47,1.47,0,1.87,0,0,0,0,2.18,0,0.31,3.65,,,,,,,,2340.574,40.274,,0,,,,,0,,,,51.233,,,,,2977.465,,59.726,2.18,3471.056,,,,,,-70.561,-1.51,0,,,,,0,,0,,,,,0,,,,0,0,,,,,0,0,,5811.63,628051,,3471.056,59.726,,,,,,0,,,,,0,,8.493,,,,,493.59,
