iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ABW,Aruba,2019,,,,,,,3.681,0.193,0,0,,,,,,,0,,,,,0,,,,0.991,0,0,0.845,0,0,0,0.845,0,0,0.147,0.011,0.136,0.991,,51178.586,,,,,,7945.317,85.201,,0,,,,,0,,,,0,,,,,0,,14.799,0.147,1380.04,,,,,,0,0,0,,,,,0,,85.201,,,,,7945.317,,,,0,0,,,,,0,0,,9325.357,106310,5.441,1380.04,14.799,,,,,,1.081,,,,,100.762,,13.718,,,,,1279.278,
,Asia Pacific,2019,4.023,1340.934,5.047,316.242,0.016,0.66,2.679,1859.022,,,25.315,0.243,34.953,173.026,,,58.058,1.724,47.701,576.203,33992.201,,,34670.589,,,,7397.446,9039.606,1497.084,1791.478,646.915,145.076,,247.815,2940.7,392.039,509.368,12741.571,,,1.699,87.291,1038.912,62204.409,,,70.946,,11.75,3.421,12.042,283.87,8581.198,,,6582.405,,14.06,4.257,6.225,181.128,4436.091,,,28.157,3587.615,,9.957,12.709,820.112,9056.745,,,,5.077,16.427,2.248,226.012,1601.902,,,1.139,0.919,27.548,178.838,19630.96,,,4195.633,,,,11.304,0.861,62.321,613.643,,1.945,,,,71261.096,,23.08,8.659,10.461,594.1,7454.842,,3.077,26.361,1.362,202.518,970.774,,,3.998,9.858,1.77,113.181,1261.307,,
AUS,Australia,2019,0.921,33.498,13.596,171.332,31.129,53.194,3.159,49.998,1.38,138.871,-7.018,0.096,-0.118,1.561,61.956,,55.983,-4.22,29.849,-21.472,487.295,5634.913,19334.678,3669.878,145611.576,253.679,3.5,142.018,199.279,51.638,15.538,0,5.623,0.001,3.501,54.4,14.218,21.143,253.679,,64774.684,2.479,91.509,36.135,1493.91,59274.607,7906.895,78.556,,20.356,17.487,25.783,62.648,420.91,2048.885,16700.659,1431.49,56797.954,6.125,-18.898,2.141,-8.143,34.949,616.511,1386.69,21.444,54.4,2158.45,11.112,8.491,13.863,138.621,5500.129,0,0,0,,0,0,0,0,0,2.216,-0.853,35.877,-5.041,585.704,223.097,23239.271,224.077,8890.799,0.04,138.911,-3.712,0.526,-0.331,8.587,0,1.38,340.705,10065.345,25203200,1632.529,2158.45,21.444,11.112,8.491,13.863,138.621,5500.129,5.605,47.816,2.775,14.656,45.307,564.135,1797.682,8.334,19.296,2.953,7.799,48.216,838.893,1913.096
AUT,Austria,2019,,,,,,,4.741,18.827,6.703,530.424,0.591,1.407,0.034,5.852,653.44,92,2.117,2.301,7.94,0.743,33.028,167.502,3688.177,,,73.99,4.75,1.5,16.47,11.57,40.46,0,3.4,0,4.75,54.39,1.7,7.48,70.86,,46449.948,3.199,66.221,8.538,275.456,30759.648,1839.174,23.243,,16.328,2.458,21.397,2.135,89.004,1292,9938.962,,,57.099,7.089,24.083,6.632,100.176,4518.092,11186.495,76.757,54.39,6073.629,7.901,33.779,10.289,140.509,15690.338,4.23,3.13,0,,0,0,0,0,0,4.798,3.83,36.884,5.66,153.423,379.672,17132.509,,,0,530.424,-4.105,2.825,-0.503,11.75,0,6.703,1312.148,7912.802,8955108,415.964,6073.629,76.757,7.901,33.779,10.289,140.509,15690.338,2.399,16.54,1.013,0.598,4.215,189.836,470.654,10.556,23.537,4.451,3.528,18.516,835.277,2067.6
AZE,Azerbaijan,2019,,,27.677,52.716,-3.071,-14.001,5.346,9.138,0.632,15.46,,,,,,,0,0,0.004,0,0.007,0,0.713,,,23.242,0.155,0,22.712,11.332,1.549,0,11.38,0,0.155,1.884,0.044,0.135,24.596,,17922.369,5.751,97.508,9.549,175.591,17475.737,2260.441,92.341,,46.074,9,65.467,9.734,117.892,1127.861,11733.255,243.182,24202.73,6.299,-11.82,2.152,-0.519,3.875,154.199,385.638,7.659,1.884,187.474,-8.391,2.492,-0.411,4.488,446.646,-5.826,-1.354,0,,0,0,0,0,0,46.267,-0.319,32.037,-0.185,57.692,1132.58,5741.769,441.875,43977.63,0,15.46,20.331,0.135,0.041,0.243,0,0.632,24.139,2447.915,10047719,180.079,187.474,7.659,-8.391,2.492,-0.411,4.488,446.646,0.179,12.168,0.061,0.012,0.109,4.379,10.893,0.549,26.979,0.145,0.055,0.261,13.436,25.975
BHS,Bahamas,2019,,,,,,,0.028,0.005,0,0,,,,,,,0,,,,,0,,,,1.911,0,0,1.907,0,0,0,1.907,0,0,0.003,0.003,0,1.911,,41170.375,,,,,,4897.052,99.817,,0,,,,,0,,,,0,,,,,0,,0.183,0.003,8.968,,,,,,0,0,0,,,,,0,,99.817,,,,,4897.052,,,,0,0,,,,,0,0,,4906.021,389486,16.035,8.968,0.183,,,,,,0.183,,,,,8.968,,0,,,,,0,
BHR,Bahrain,2019,,,11.05,16.185,0,,12.591,26.647,0,0,,,,,,,0,,,,,0,,,,28.391,0,0,28.106,28.079,0,0,0.027,0,0,0.009,0.008,0.001,28.115,,145193.282,,,,,,17125.65,99.967,,99.871,,,,,17109.16,,162.66,99112.357,0,,,,,0,,0.033,0.009,5.636,,,,,,0.972,0.276,0,,,,,0,,0.096,,,,,16.49,,,,0,0,,,,,0,0,,17131.286,1641164,238.286,5.636,0.033,,,,,,0.029,,,,,5.027,,0.004,,,,,0.609,
BGD,Bangladesh,2019,0,,-4.881,-12.973,0,,11.893,48.402,0.004,0.018,,,,,,,2.125,61.911,8.464,14.739,38.545,10.396,236.405,,,79.781,0.003,1.695,78.532,59.444,0.82,0,17.393,0,0.003,1.249,0.42,0.006,79.781,,2792.993,11.96,99.358,48.333,452.465,2775.07,481.653,98.435,,74.509,12.78,67.93,35.054,309.344,364.583,1897.279,252.844,1550.753,1.028,-5.241,0.448,-0.113,2.038,5.029,12.5,1.565,1.249,7.66,2.394,0.642,0.068,2.923,17.925,0,0,0,,0,0,0,0,0,21.801,-1.376,22.964,-1.459,104.576,106.673,641.387,,,0,0.018,-0.389,0.002,0,0.007,0,0.004,0.044,489.313,163046176,455.387,7.66,1.565,2.394,0.642,0.068,2.923,17.925,0.526,26.494,0.19,0.181,0.865,2.576,5.304,0.008,-0.44,0.003,0,0.013,0.037,0.077
BRB,Barbados,2019,,,,,,,0.168,0.012,0,0,,,,,,,0,,,,,0,,,,1.015,0,0,0.975,0,0,0,0.975,0,0,0.04,0.04,0,1.015,,24536.793,,,,,,3395.803,96.058,,0,,,,,0,,,,0,,,,,0,,3.942,0.04,139.363,,,,,,0,0,0,,,,,0,,96.058,,,,,3395.803,,,,0,0,,,,,0,0,,3535.165,287021,7.043,139.363,3.942,,,,,,3.942,,,,,139.363,,0,,,,,0,
BLR,Belarus,2019,,,,,,,-1.487,-4.417,0.891,35.546,,,,,,,0,5.305,5.285,0.779,15.468,0,1636.399,,,35.376,0.336,0,36.676,36.676,0.345,0,0,0,0.336,1.04,0.181,0.178,37.716,,30964.952,-1.62,99.274,-4.784,290.568,30740.111,3880.067,97.244,,97.244,-0.775,65.476,-1.498,191.645,3880.067,20274.741,,,0.913,7.934,0.297,0.064,0.869,36.448,91.95,2.756,1.04,109.974,23.543,0.682,0.38,1.996,211.145,-6.612,-2.339,0,,0,0,0,0,0,0,-4.645,28.513,-4.066,83.455,0,8828.97,,,0,35.546,0.545,0.093,0.001,0.272,0,0.891,28.816,3990.041,9452409,292.693,109.974,2.756,23.543,0.682,0.38,1.996,211.145,0.48,51.136,0.151,0.15,0.443,19.149,46.892,0.472,67.059,0.14,0.165,0.411,18.831,43.487
