iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CHN,China,2018,5.052,1026.841,8.19,122.194,-1.253,-27.912,3.593,1325.587,1.344,65.843,29.883,0.088,7.702,33.475,23.448,,64.076,0.648,58.956,145.041,22530.485,3140.06,15781.556,21352.95,14956.736,6984.34,94,4482.9,4831.3,215.5,1232.9,294.4,132.9,0.1,94.1,1870.5,177.5,366,6996.2,2.105,26768.309,2.529,86.058,811.16,32887.636,23036.24,3384.098,69.056,1.81516E+13,3.08,17.688,7.43,426.731,2839.25,150.948,1988.762,1614.189,1130.663,17.622,2.301,7.797,67.027,2979.692,863.588,2087.134,30.944,2164.9,1516.41,10.687,13.942,514.428,5328.111,3732.091,-0.17,-11.86,4.208,18.208,1.919,112.937,733.188,206.213,513.563,1.9,3.289,19.672,239.387,7517.875,93.09,5265.921,2199.303,1540.508,0.07,65.913,17.059,0.61,33.946,232.939,0.001,1.345,163.163,4900.509,1427647744,38215.716,1310.197,26.736,9.574,12.024,401.491,4594.924,3218.528,2.537,49.292,1.15,145.164,439.664,124.33,307.964,5.231,19.39,2.379,147.652,909.153,256.366,636.819
IND,India,2018,6.775,225.592,-0.724,-2.004,-2.201,-10.351,6.415,554.872,1.181,11.938,33.98,0.222,5.177,20.414,15.092,,74.915,6.575,56.093,318.541,5163.249,757.559,3817.161,3555.345,2628.444,1366.24,16.148,1024.706,1075.177,50.257,141.331,38.12,0.213,0.414,16.562,254.535,36.331,60.311,1367.832,1.042,6805.087,6.013,91.606,478.233,8432.19,6233.866,794.871,78.604,8.83576E+12,3.674,8.103,6.311,43.544,580.899,37.155,429.455,274.929,203.254,10.332,2.292,3.773,7.781,347.34,104.485,256.786,21.396,292.655,216.358,11.011,8.394,76.64,772.665,571.227,-0.117,-1.592,2.787,3.763,1.054,3.52,97.056,28.182,71.753,0.016,4.516,29.202,116.148,2688.035,0.158,1987.249,459.939,340.03,0.306,12.244,8.659,0.735,5.392,67.662,0.03,1.211,50.022,1011.229,1352642304,9204.848,188.176,18.609,12.136,7.34,73.12,675.609,499.474,2.656,67.647,0.981,36.436,90.297,26.859,66.756,4.409,13.935,1.628,18.334,149.896,44.588,110.817
IDN,Indonesia,2018,20.927,661.493,0.133,0.967,-3.526,-16.798,7.99,165.835,5.016,50.484,44.016,1.564,10.711,35.047,130.933,,55.503,18.602,35.177,123.671,788.476,558.603,2945.699,3822.47,14280.503,270.891,13.513,149.522,220.262,53.533,21.42,0,17.207,13.92,27.433,49.134,0.091,0.19,269.395,0.729,8374.044,7.935,94.959,156.47,2128.485,7951.884,822.884,81.762,3.07546E+12,19.872,3.039,19.866,13.132,445.286,199.997,1663.561,728.017,2719.824,7.951,-10.216,1.866,-4.759,41.822,80.022,156.246,18.238,49.134,183.56,9.036,5.041,9.365,113.002,422.168,0.552,1.496,0,,0,0,0,0,0,6.387,2.248,39.916,19.667,894.721,64.283,3342.624,459.664,1717.274,52.004,102.488,9.091,1.589,2.968,35.616,5.167,10.183,133.057,1006.444,267670560,2241.485,183.56,18.238,9.036,5.041,9.365,113.002,422.168,0.034,-31.59,0.002,-0.023,0.05,0.34,0.186,0.071,,0.021,0.467,0.467,0.71,1.745
,Middle East,2018,7.508,0.854,3.726,238.283,0.907,155.545,0.449,45.282,,,-31.744,0.001,-0.029,0.063,,,1.763,-4.283,1.049,-4.756,106.306,,,12.23,,,,21.293,1178.512,799.194,14.334,6.885,358.026,,0.337,22.049,6.04,1.338,1207.433,1.029,,0.549,99.289,54.896,10057.438,,,97.605,9.84262E+12,66.189,2.628,52.349,135.793,5302.635,,,6633.201,,1.187,-30.876,0.352,-15.913,35.624,,,2.396,28.934,,-11.784,0.711,-9.614,71.975,,,,0.57,-1.617,0.169,-0.281,17.113,,,29.652,-1.612,45.891,-76.141,4648.489,,,17312.006,,,,3.913,0.008,0.032,0.838,,0.028,,,,10129.405,,1.826,-14.539,0.542,-9.333,54.862,,0.5,53.635,0.148,5.241,15.012,,,0.111,67.205,0.033,1.336,3.325,,
IRN,Iran,2018,0,,8.518,182.108,-5.491,-147.747,5.778,173.267,0.008,0.293,,,,,,,0.196,3.818,0.627,0.731,19.886,6.962,243.103,,,287.577,0.024,0.57,268.764,189.979,15.607,6.3,78.216,0,0.024,16.221,0.222,0.368,291.285,2.267,38775.484,6.377,98.503,187.291,3124.353,38194.931,3285.614,92.268,1.399E+12,65.221,7.15,69.238,146.539,2196.116,2322.472,26847.341,2320.146,28363.572,5.358,-34.28,0.893,-14.768,28.312,190.798,346.114,7.732,22.521,275.319,-22.797,1.497,-14.023,47.492,580.584,-1.289,-3.708,2.163,-1.617,0.54,-0.281,17.113,77.017,209.202,26.852,4.609,28.638,40.021,908.348,956.18,11104.486,2543.103,31089.201,0,0.293,-0.585,0.002,0,0.061,0,0.008,0.743,3560.933,81800200,3171.842,198.302,5.569,-31.146,0.958,-13.742,30.379,371.382,0.076,157,0.017,0.337,0.551,2.712,6.74,0.126,90.021,0.046,0.689,1.455,4.499,17.786
CHN,China,2019,3.754,801.489,9.999,161.41,1.009,22.19,3.236,1236.708,1.525,77.946,12.958,0.096,4.338,37.813,26.373,,62.153,0.837,57.586,188.679,22719.163,3176.072,15845.612,22154.439,15451.729,7314.84,111.758,4553.8,4934.742,232.5,1302.1,348.7,148.442,0.1,111.858,2043.258,224,405.3,7326.7,,27516.3,2.053,85.071,675.055,33562.691,23408.474,3441.761,67.353,,3.173,8.612,7.816,244.519,3083.768,162.158,2150.792,1775.598,1238.4,17.772,5.752,7.987,171.39,3151.082,908.156,2197.739,32.647,2391.958,1668.284,10.541,14.929,561.654,5889.765,4107.848,-0.162,-11.86,4.759,17.768,2.189,130.27,863.457,243.203,602.223,2.026,3.217,19.669,241.858,7759.733,103.531,5412.07,2221.493,1549.392,0.07,78.016,19.829,0.708,46.189,279.129,0.001,1.527,194.68,5110.045,1433783808,39452.425,1425.081,27.888,9.388,12.74,431.384,5026.308,3505.625,3.057,26.158,1.406,115.009,554.673,156.23,386.86,5.532,10.39,2.544,94.459,1003.611,282.679,699.974
IND,India,2019,-1.584,-56.333,-2.135,-5.869,-4.881,-22.448,2.275,209.418,1.065,10.743,15.233,0.25,3.11,23.524,17.215,,72.454,0.054,54.874,2.769,5166.018,730.771,3780.705,3499.012,2560.719,1376.582,14.68,998.538,1046.627,47.98,161.741,45.163,0.108,0.383,15.063,286.385,46.273,63.308,1378.174,,6889.742,1.195,90.638,100.731,8532.921,6244.738,765.964,75.943,,3.481,1.998,6.294,11.604,592.503,35.114,433.618,269.06,196.909,11.736,15.502,4.261,53.846,401.185,118.369,293.604,24.057,331.548,242.64,14.067,9.362,108.688,881.353,645.01,-0.116,-1.592,3.277,15.226,1.188,14.777,111.833,33.052,81.844,0.008,3.213,29.47,86.358,2774.393,0.079,2030.415,437.491,320.174,0.28,11.023,8.572,0.78,5.8,73.462,0.028,1.093,53.763,1008.604,1366417792,9414.266,209.588,20.78,13.9,8.174,93.911,769.52,563.166,3.358,26.88,1.217,24.272,114.569,33.864,83.846,4.594,4.592,1.665,6.884,156.78,46.332,114.738
IDN,Indonesia,2019,10.468,400.129,-7.168,-52.182,-3.403,-15.644,7.238,162.229,3.995,41.504,69.163,2.466,24.239,59.286,219.071,,59.699,20.28,39.455,159.903,948.379,620.169,3504.399,4222.599,15603.106,282.818,11.232,167.833,233.472,48.926,20.949,0,16.712,14.9,26.132,47.663,0.098,0.484,281.135,,8882.066,6.489,94.296,138.122,2266.607,8375.437,862.711,83.046,,17.403,-1.366,18.272,-6.083,439.203,180.79,1622.918,675.834,2497.304,7.452,-2.035,1.705,-0.851,40.972,77.411,151.396,16.954,47.663,176.123,21.333,5.704,24.107,137.109,506.637,0.595,1.683,0,,0,0,0,0,0,5.944,-1.754,36.569,-15.698,879.024,61.753,3248.12,444.02,1640.715,55.058,96.561,-0.258,1.478,-0.092,35.524,5.3,9.295,131.266,1038.834,270625568,2403.714,176.123,16.954,21.333,5.704,24.107,137.109,506.637,0.035,169.139,0.006,0.084,0.134,0.362,0.494,0.172,155.465,0.05,0.726,1.194,1.788,4.41
,Middle East,2019,3.68,0.45,2.245,148.916,-5.042,-872.947,2.863,289.963,,,1.727,0.001,0.001,0.064,,,1.804,4.275,1.064,4.544,110.85,,,12.68,,,,22.611,1200.255,813.738,33.178,6.411,363.907,,0.333,46.943,11.88,1.552,1253.631,,,2.284,98.731,229.759,10287.197,,,95.742,,64.91,2.677,52.255,141.978,5444.612,,,6782.118,,2.647,130.62,0.788,46.532,82.157,,,4.256,53.354,,83.646,1.269,60.205,132.18,,,,0.511,-7.238,0.152,-1.239,15.874,,,29.028,1.791,45.413,83.237,4731.726,,,16439.059,,,,-1.55,0.008,-0.013,0.825,,0.027,,,,10419.368,,3.745,111.995,1.116,61.443,116.305,,0.948,95.947,0.282,14.404,29.416,,,0.124,15.603,0.037,0.519,3.843,,
IRN,Iran,2019,0,,4.054,94.069,-27.852,-708.298,4.858,154.079,0.008,0.289,,,,,,,0.195,3.927,0.621,0.781,20.667,7.206,249.257,,,302.245,0.024,0.597,269.694,190.321,30.071,5.866,78.776,0,0.024,30.737,0.244,0.398,306.298,,40112.955,3.574,97.297,111.66,3236.013,39028.596,3252.706,88.05,,62.136,1.746,67.183,38.339,2234.455,2295.404,26949.123,2414.215,29117.138,9.818,153.315,2.156,43.407,71.719,362.68,864.982,11.95,36.603,441.461,89.319,2.703,42.419,89.911,1084.391,-1.341,-4.053,1.915,-7.238,0.477,-1.239,15.874,70.748,191.453,25.719,7.986,29.492,72.54,980.888,950.095,11830.217,1834.805,22129.042,0,0.289,-0.369,0.002,0,0.061,0,0.008,0.73,3694.167,82913888,3325.921,370.713,10.035,143.71,2.226,43.658,74.037,892.937,0.08,27.707,0.021,0.153,0.704,2.943,8.491,0.13,6.768,0.047,0.098,1.553,4.8,18.735
